"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11"
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 2.44437303067312079e+01, 5.00000000000000000e-01, 1.60943791243410028e+00
